Designator,Mid X,Mid Y,Rotation,Layer
C1,121.45,-50.39,270.0,top
C2,121.45,-54.29,270.0,top
C3,126.4675,-57.86,0.0,top
C4,113.2475,-62.17,0.0,top
D1,126.4675,-59.86,180.0,top
D2,117.41,-57.67,180.0,top
D3,117.2575,-60.03,180.0,top
F1,113.0,-45.25,270.0,top
J1,120.07,-42.6975,180.0,top
J2,120.14,-71.38,90.0,top
Q1,121.58,-59.3425,270.0,top
Q2,121.53,-63.48,90.0,top
R1,126.4675,-61.86,0.0,top
R2,113.385,-57.68,0.0,top
R3,113.285,-60.07,0.0,top
SW1,115.56,-65.67,0.0,top
SW2,126.3,-65.75,0.0,top
U1,126.0775,-52.36,180.0,top
U2,115.5775,-52.2975,0.0,top
